Question,Answer,topic,split,Question_processed,Question_medical,Answer_processed,Answer_medical,source
What are the treatments for Hereditary Spastic Paraplegia ?,"There are no specific treatments to prevent, slow, or reverse HSP. Symptomatic treatments used for spasticity, such as muscle relaxants, are sometimes helpful. Regular physical therapy is important for muscle strength and to preserve range of motion.",Neurological_Disorders_Stroke,train,treatment hereditary spastic paraplegia,what are the treatments for hereditary spastic paraplegia,specific treatment prevent slow reverse hsp symptomatic treatment used spasticity muscle relaxant sometimes helpful regular physical therapy important muscle strength preserve range motion,there are no specific treatments to prevent slow or reverse hsp symptomatic treatments used for spasticity such as muscle relaxants are sometimes helpful regular physical therapy is important for muscle strength and to preserve range of motion,Neurological_Disorders_and_StrokeQA
What is the outlook for Hereditary Spastic Paraplegia ?,The prognosis for individuals with HSP varies Some individuals are very disabled and others have only mild disability. The majority of individuals with uncomplicated HSP have a normal life expectancy.,Neurological_Disorders_Stroke,train,outlook hereditary spastic paraplegia,what is the outlook for hereditary spastic paraplegia,prognosis individual hsp varies individual disabled others mild disability majority individual uncomplicated hsp normal life expectancy,the prognosis for individuals with hsp varies some individuals are very disabled and others have only mild disability the majority of individuals with uncomplicated hsp have a normal life expectancy,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Hereditary Spastic Paraplegia ?,"The NINDS supports research on genetic disorders such as HSP. More than 30 genes that are responsible for several forms of HSP have been identified, and many more will likely be identified in the future. These genes generally encode proteins that normally help maintain the function of axons in the spinal cord. Understanding how mutations of these genes cause HSP should lead to ways to prevent, treat, and cure HSP.",Neurological_Disorders_Stroke,train,research clinical trial done hereditary spastic paraplegia,what research or clinical trials is being done for hereditary spastic paraplegia,ninds support research genetic disorder hsp gene responsible several form hsp identified many likely identified future gene generally encode protein normally help maintain function axon spinal cord understanding mutation gene cause hsp lead way prevent treat cure hsp,the ninds supports research on genetic disorders such as hsp more than 30 genes that are responsible for several forms of hsp have been identified and many more will likely be identified in the future these genes generally encode proteins that normally help maintain the function of axons in the spinal cord understanding how mutations of these genes cause hsp should lead to ways to prevent treat and cure hsp,Neurological_Disorders_and_StrokeQA
What is (are) Friedreich's Ataxia ?,"Friedreich's ataxia is a rare inherited disease that causes progressive damage to the nervous system and movement problems. Neurological symptoms include awkward, unsteady movements, impaired sensory function, speech problems, and vision and hearing loss. Thinking and reasoning abilities are not affected.Impaired muscle coordination (ataxia) results from the degeneration of nerve tissue in the spinal cord and of nerves that control muscle movement in the arms and legs. Symptoms usually begin between the ages of 5 and 15 but can appear in adulthood or later. The first symptom is usually difficulty in walking. The ataxia gradually worsens and slowly spreads to the arms and then the trunk. People lave loss of sensation in the arms and legs, which may spread to other parts of the body. Many people with Friedreich's ataxia develop scoliosis (a curving of the spine to one side), which, if severe, may impair breathing. Other symptoms include chest pain, shortness of breath, and heart problems. Some individuals may develop diabetes. Doctors diagnose Friedreich's ataxia by performing a careful clinical examination, which includes a medical history and a thorough physical examination. Several tests may be performed, including electromyogram (EMG, which measures the electrical activity of cells) and genetic testing.",Neurological_Disorders_Stroke,train,friedreichs ataxia,what is are friedreichs ataxia,friedreichs ataxia rare inherited disease cause progressive damage nervous system movement problem neurological symptom include awkward unsteady movement impaired sensory function speech problem vision hearing loss thinking reasoning ability affectedimpaired muscle coordination ataxia result degeneration nerve tissue spinal cord nerve control muscle movement arm leg symptom usually begin age appear adulthood later first symptom usually difficulty walking ataxia gradually worsens slowly spread arm trunk people lave loss sensation arm leg may spread part body many people friedreichs ataxia develop scoliosis curving spine one side severe may impair breathing symptom include chest pain shortness breath heart problem individual may develop diabetes doctor diagnose friedreichs ataxia performing careful clinical examination includes medical history thorough physical examination several test may performed including electromyogram emg measure electrical activity cell genetic testing,friedreichs ataxia is a rare inherited disease that causes progressive damage to the nervous system and movement problems neurological symptoms include awkward unsteady movements impaired sensory function speech problems and vision and hearing loss thinking and reasoning abilities are not affectedimpaired muscle coordination ataxia results from the degeneration of nerve tissue in the spinal cord and of nerves that control muscle movement in the arms and legs symptoms usually begin between the ages of 5 and 15 but can appear in adulthood or later the first symptom is usually difficulty in walking the ataxia gradually worsens and slowly spreads to the arms and then the trunk people lave loss of sensation in the arms and legs which may spread to other parts of the body many people with friedreichs ataxia develop scoliosis a curving of the spine to one side which if severe may impair breathing other symptoms include chest pain shortness of breath and heart problems some individuals may develop diabetes doctors diagnose friedreichs ataxia by performing a careful clinical examination which includes a medical history and a thorough physical examination several tests may be performed including electromyogram emg which measures the electrical activity of cells and genetic testing,Neurological_Disorders_and_StrokeQA
What are the treatments for Friedreich's Ataxia ?,"There is currently no effective cure or treatment for Friedreich's ataxia. However, many of the symptoms and accompanying complications can be treated to help individuals maintain optimal functioning as long as possible. Diabetes and heart problems can be treated with medications. Orthopedic problems such as foot deformities and scoliosis can be treated with braces or surgery. Physical therapy may prolong use of the arms and legs.",Neurological_Disorders_Stroke,train,treatment friedreichs ataxia,what are the treatments for friedreichs ataxia,currently effective cure treatment friedreichs ataxia however many symptom accompanying complication treated help individual maintain optimal functioning long possible diabetes heart problem treated medication orthopedic problem foot deformity scoliosis treated brace surgery physical therapy may prolong use arm leg,there is currently no effective cure or treatment for friedreichs ataxia however many of the symptoms and accompanying complications can be treated to help individuals maintain optimal functioning as long as possible diabetes and heart problems can be treated with medications orthopedic problems such as foot deformities and scoliosis can be treated with braces or surgery physical therapy may prolong use of the arms and legs,Neurological_Disorders_and_StrokeQA
What is the outlook for Friedreich's Ataxia ?,"Generally, within 15 to 20 years after the appearance of the first symptoms, the person is confined to a wheelchair, and in later stages of the disease, individuals may become completely incapacitated. Friedreich's ataxia can shorten life expectancy; heart disease is the most common cause of death. Many individuals with Friedreich's ataxia die in early adulthood, but some people with less severe symptoms live into their 60s, 70s, or longer.",Neurological_Disorders_Stroke,train,outlook friedreichs ataxia,what is the outlook for friedreichs ataxia,generally within year appearance first symptom person confined wheelchair later stage disease individual may become completely incapacitated friedreichs ataxia shorten life expectancy heart disease common cause death many individual friedreichs ataxia die early adulthood people less severe symptom live longer,generally within 15 to 20 years after the appearance of the first symptoms the person is confined to a wheelchair and in later stages of the disease individuals may become completely incapacitated friedreichs ataxia can shorten life expectancy heart disease is the most common cause of death many individuals with friedreichs ataxia die in early adulthood but some people with less severe symptoms live into their 60s 70s or longer,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Friedreich's Ataxia ?,"Friedreich's ataxia is caused by a mutation in the protein frataxin, which is involved in the function of mitochondriathe energy producing power plants of the cell. Frataxin controls important steps in mitochondrial iron metabolism and overall cell iron stability.NINDS-funded researchers are studying the metabolic functions of mitochondria in individuals with Friedreichs ataxia. Ongoing research is aimed at understanding the molecular basis for and mechanisms involved in the inactivation of the gene that provides instructions for frataxin, which could lead to potential ways to reverse the silencing and restore normal gene function.And researchers are using next-generation sequencing (which can quickly identify the structure of millions of small fragments of DNA at the same time) to identify novel genes in Friedreich's ataxia.",Neurological_Disorders_Stroke,train,research clinical trial done friedreichs ataxia,what research or clinical trials is being done for friedreichs ataxia,friedreichs ataxia caused mutation protein frataxin involved function mitochondriathe energy producing power plant cell frataxin control important step mitochondrial iron metabolism overall cell iron stabilitynindsfunded researcher studying metabolic function mitochondrion individual friedreichs ataxia ongoing research aimed understanding molecular basis mechanism involved inactivation gene provides instruction frataxin could lead potential way reverse silencing restore normal gene functionand researcher using nextgeneration sequencing quickly identify structure million small fragment dna time identify novel gene friedreichs ataxia,friedreichs ataxia is caused by a mutation in the protein frataxin which is involved in the function of mitochondriathe energy producing power plants of the cell frataxin controls important steps in mitochondrial iron metabolism and overall cell iron stabilityninds-funded researchers are studying the metabolic functions of mitochondria in individuals with friedreichs ataxia ongoing research is aimed at understanding the molecular basis for and mechanisms involved in the inactivation of the gene that provides instructions for frataxin which could lead to potential ways to reverse the silencing and restore normal gene functionand researchers are using next-generation sequencing which can quickly identify the structure of millions of small fragments of dna at the same time to identify novel genes in friedreichs ataxia,Neurological_Disorders_and_StrokeQA
What is (are) Traumatic Brain Injury ?,"Traumatic brain injury (TBI), a form ofacquired brain injury, occurs when a sudden trauma causes damage to the brain. TBI can result when the head suddenly and violently hits an object, or when an object pierces the skull and enters brain tissue.Symptoms of a TBI can be mild, moderate, or severe, depending on the extent of the damage to the brain. A person with a mild TBI may remain conscious or may experience a loss of consciousness for a few seconds or minutes. Other symptoms of mild TBI include headache, confusion, lightheadedness, dizziness, blurred vision or tired eyes, ringing in the ears, bad taste in the mouth, fatigue or lethargy, a change in sleep patterns, behavioral or mood changes, and trouble with memory, concentration, attention, or thinking. A person with a moderate or severe TBI may show these same symptoms, but may also have a headache that gets worse or does not go away, repeated vomiting or nausea, convulsions or seizures, an inability to awaken from sleep, dilation of one or both pupils of the eyes, slurred speech, weakness or numbness in the extremities, loss of coordination, and increased confusion, restlessness, or agitation.",Neurological_Disorders_Stroke,train,traumatic brain injury,what is are traumatic brain injury,traumatic brain injury tbi form ofacquired brain injury occurs sudden trauma cause damage brain tbi result head suddenly violently hit object object pierce skull enters brain tissuesymptoms tbi mild moderate severe depending extent damage brain person mild tbi may remain conscious may experience loss consciousness second minute symptom mild tbi include headache confusion lightheadedness dizziness blurred vision tired eye ringing ear bad taste mouth fatigue lethargy change sleep pattern behavioral mood change trouble memory concentration attention thinking person moderate severe tbi may show symptom may also headache get worse away repeated vomiting nausea convulsion seizure inability awaken sleep dilation one pupil eye slurred speech weakness numbness extremity loss coordination increased confusion restlessness agitation,traumatic brain injury tbi a form ofacquired brain injury occurs when a sudden trauma causes damage to the brain tbi can result when the head suddenly and violently hits an object or when an object pierces the skull and enters brain tissuesymptoms of a tbi can be mild moderate or severe depending on the extent of the damage to the brain a person with a mild tbi may remain conscious or may experience a loss of consciousness for a few seconds or minutes other symptoms of mild tbi include headache confusion lightheadedness dizziness blurred vision or tired eyes ringing in the ears bad taste in the mouth fatigue or lethargy a change in sleep patterns behavioral or mood changes and trouble with memory concentration attention or thinking a person with a moderate or severe tbi may show these same symptoms but may also have a headache that gets worse or does not go away repeated vomiting or nausea convulsions or seizures an inability to awaken from sleep dilation of one or both pupils of the eyes slurred speech weakness or numbness in the extremities loss of coordination and increased confusion restlessness or agitation,Neurological_Disorders_and_StrokeQA
What are the treatments for Traumatic Brain Injury ?,"Anyone with signs of moderate or severe TBI should receive medical attention as soon as possible. Because little can be done to reverse the initial brain damage caused by trauma, medical personnel try to stabilize an individual with TBI and focus on preventing further injury. Primary concerns include insuring proper oxygen supply to the brain and the rest of the body, maintaining adequate blood flow, and controlling blood pressure. Imaging tests help in determining the diagnosis and prognosis of a TBI patient. Patients with mild to moderate injuries may receive skull and neck X-rays to check for bone fractures or spinal instability. For moderate to severe cases, the imaging test is a computed tomography (CT) scan. Moderately to severely injured patients receive rehabilitation that involves individually tailored treatment programs in the areas of physical therapy, occupational therapy, speech/language therapy, physiatry (physical medicine), psychology/psychiatry, and social support.",Neurological_Disorders_Stroke,train,treatment traumatic brain injury,what are the treatments for traumatic brain injury,anyone sign moderate severe tbi receive medical attention soon possible little done reverse initial brain damage caused trauma medical personnel try stabilize individual tbi focus preventing injury primary concern include insuring proper oxygen supply brain rest body maintaining adequate blood flow controlling blood pressure imaging test help determining diagnosis prognosis tbi patient patient mild moderate injury may receive skull neck xrays check bone fracture spinal instability moderate severe case imaging test computed tomography scan moderately severely injured patient receive rehabilitation involves individually tailored treatment program area physical therapy occupational therapy speechlanguage therapy physiatry physical medicine psychologypsychiatry social support,anyone with signs of moderate or severe tbi should receive medical attention as soon as possible because little can be done to reverse the initial brain damage caused by trauma medical personnel try to stabilize an individual with tbi and focus on preventing further injury primary concerns include insuring proper oxygen supply to the brain and the rest of the body maintaining adequate blood flow and controlling blood pressure imaging tests help in determining the diagnosis and prognosis of a tbi patient patients with mild to moderate injuries may receive skull and neck x-rays to check for bone fractures or spinal instability for moderate to severe cases the imaging test is a computed tomography ct scan moderately to severely injured patients receive rehabilitation that involves individually tailored treatment programs in the areas of physical therapy occupational therapy speechlanguage therapy physiatry physical medicine psychologypsychiatry and social support,Neurological_Disorders_and_StrokeQA
What is the outlook for Traumatic Brain Injury ?,"Approximately half of severely head-injured patients will need surgery to remove or repair hematomas (ruptured blood vessels) or contusions (bruised brain tissue). Disabilities resulting from a TBI depend upon the severity of the injury, the location of the injury, and the age and general health of the individual. Some common disabilities include problems with cognition (thinking, memory, and reasoning), sensory processing (sight, hearing, touch, taste, and smell), communication (expression and understanding), and behavior or mental health (depression, anxiety, personality changes, aggression, acting out, and social inappropriateness). More serious head injuries may result in stupor, an unresponsive state, but one in which an individual can be aroused briefly by a strong stimulus, such as sharp pain; coma, a state in which an individual is totally unconscious, unresponsive, unaware, and unarousable; vegetative state, in which an individual is unconscious and unaware of his or her surroundings, but continues to have a sleep-wake cycle and periods of alertness; and a persistent vegetative state (PVS), in which an individual stays in a vegetative state for more than a month.",Neurological_Disorders_Stroke,train,outlook traumatic brain injury,what is the outlook for traumatic brain injury,approximately half severely headinjured patient need surgery remove repair hematoma ruptured blood vessel contusion bruised brain tissue disability resulting tbi depend upon severity injury location injury age general health individual common disability include problem cognition thinking memory reasoning sensory processing sight hearing touch taste smell communication expression understanding behavior mental health depression anxiety personality change aggression acting social inappropriateness serious head injury may result stupor unresponsive state one individual aroused briefly strong stimulus sharp pain coma state individual totally unconscious unresponsive unaware unarousable vegetative state individual unconscious unaware surroundings continues sleepwake cycle period alertness persistent vegetative state pvs individual stay vegetative state month,approximately half of severely head-injured patients will need surgery to remove or repair hematomas ruptured blood vessels or contusions bruised brain tissue disabilities resulting from a tbi depend upon the severity of the injury the location of the injury and the age and general health of the individual some common disabilities include problems with cognition thinking memory and reasoning sensory processing sight hearing touch taste and smell communication expression and understanding and behavior or mental health depression anxiety personality changes aggression acting out and social inappropriateness more serious head injuries may result in stupor an unresponsive state but one in which an individual can be aroused briefly by a strong stimulus such as sharp pain coma a state in which an individual is totally unconscious unresponsive unaware and unarousable vegetative state in which an individual is unconscious and unaware of his or her surroundings but continues to have a sleep-wake cycle and periods of alertness and a persistent vegetative state pvs in which an individual stays in a vegetative state for more than a month,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Traumatic Brain Injury ?,"The National Institute of Neurological Disorders and Stroke (NINDS) supports TBI research through grants to major medical institutions across the country and conducts TBI research in its intramural laboratories and Clinical Center at the National Institutes of Health (NIH) in Bethesda,Maryland. The Center for Neuroscience and Regenerative Medicine (CNRM) is a TBI research collaboration between intramural NIH and the Uniformed Services University for the Health Sciences (USUHS). NINDS-funded research involves studies in the laboratory and in clinical settings to better understand TBI and the biological mechanisms underlying damage to the brain. This research will allow scientists to develop strategies and interventions to limit the primary and secondary brain damage that occurs within days of a head trauma, and to devise therapies to treat brain injury and improve long-term recovery of function.
                
More information about Traumatic Brain Injury (TBI) Research is available at: http://www.ninds.nih.gov/research/tbi/index.htm
                
More information about CNRM clinical studies is available at: http://cnrmstudies.org/",Neurological_Disorders_Stroke,train,research clinical trial done traumatic brain injury,what research or clinical trials is being done for traumatic brain injury,national institute neurological disorder stroke ninds support tbi research grant major medical institution across country conduct tbi research intramural laboratory clinical center national institute health nih bethesdamaryland center neuroscience regenerative medicine cnrm tbi research collaboration intramural nih uniformed service university health science usuhs nindsfunded research involves study laboratory clinical setting better understand tbi biological mechanism underlying damage brain research allow scientist develop strategy intervention limit primary secondary brain damage occurs within day head trauma devise therapy treat brain injury improve longterm recovery function information traumatic brain injury tbi research available information cnrm clinical study available,the national institute of neurological disorders and stroke ninds supports tbi research through grants to major medical institutions across the country and conducts tbi research in its intramural laboratories and clinical center at the national institutes of health nih in bethesdamaryland the center for neuroscience and regenerative medicine cnrm is a tbi research collaboration between intramural nih and the uniformed services university for the health sciences usuhs ninds-funded research involves studies in the laboratory and in clinical settings to better understand tbi and the biological mechanisms underlying damage to the brain this research will allow scientists to develop strategies and interventions to limit the primary and secondary brain damage that occurs within days of a head trauma and to devise therapies to treat brain injury and improve long-term recovery of function more information about traumatic brain injury tbi research is available at httpwwwnindsnihgovresearchtbiindexhtm more information about cnrm clinical studies is available at httpcnrmstudiesorg,Neurological_Disorders_and_StrokeQA
What is (are) Binswanger's Disease ?,"Binswanger's disease (BD), also called subcortical vascular dementia, is a type of dementia caused by widespread, microscopic areas of damage to the deep layers of white matter in the brain. The damage is the result of the thickening and narrowing (atherosclerosis) of arteries that feed the subcortical areas of the brain. Atherosclerosis (commonly known as ""hardening of the arteries"") is a systemic process that affects blood vessels throughout the body. It begins late in the fourth decade of life and increases in severity with age. As the arteries become more and more narrowed, the blood supplied by those arteries decreases and brain tissue dies. A characteristic pattern of BD-damaged brain tissue can be seen with modern brain imaging techniques such as CT scans or magnetic resonance imaging (MRI). The symptoms associated with BD are related to the disruption of subcortical neural circuits that control what neuroscientists call executive cognitive functioning: short-term memory, organization, mood, the regulation of attention, the ability to act or make decisions, and appropriate behavior. The most characteristic feature of BD is psychomotor slowness - an increase in the length of time it takes, for example, for the fingers to turn the thought of a letter into the shape of a letter on a piece of paper. Other symptoms include forgetfulness (but not as severe as the forgetfulness of Alzheimer's disease), changes in speech, an unsteady gait, clumsiness or frequent falls, changes in personality or mood (most likely in the form of apathy, irritability, and depression), and urinary symptoms that aren't caused by urological disease. Brain imaging, which reveals the characteristic brain lesions of BD, is essential for a positive diagnosis.",Neurological_Disorders_Stroke,train,binswangers disease,what is are binswangers disease,binswangers disease also called subcortical vascular dementia type dementia caused widespread microscopic area damage deep layer white matter brain damage result thickening narrowing atherosclerosis artery feed subcortical area brain atherosclerosis commonly known hardening artery systemic process affect blood vessel throughout body begin late fourth decade life increase severity age artery become narrowed blood supplied artery decrease brain tissue dy characteristic pattern bddamaged brain tissue seen modern brain imaging technique scan magnetic resonance imaging mri symptom associated related disruption subcortical neural circuit control neuroscientist call executive cognitive functioning shortterm memory organization mood regulation attention ability act make decision appropriate behavior characteristic feature psychomotor slowness increase length time take example finger turn thought letter shape letter piece paper symptom include forgetfulness severe forgetfulness alzheimers disease change speech unsteady gait clumsiness frequent fall change personality mood likely form apathy irritability depression urinary symptom arent caused urological disease brain imaging reveals characteristic brain lesion essential positive diagnosis,binswangers disease bd also called subcortical vascular dementia is a type of dementia caused by widespread microscopic areas of damage to the deep layers of white matter in the brain the damage is the result of the thickening and narrowing atherosclerosis of arteries that feed the subcortical areas of the brain atherosclerosis commonly known as hardening of the arteries is a systemic process that affects blood vessels throughout the body it begins late in the fourth decade of life and increases in severity with age as the arteries become more and more narrowed the blood supplied by those arteries decreases and brain tissue dies a characteristic pattern of bd-damaged brain tissue can be seen with modern brain imaging techniques such as ct scans or magnetic resonance imaging mri the symptoms associated with bd are related to the disruption of subcortical neural circuits that control what neuroscientists call executive cognitive functioning short-term memory organization mood the regulation of attention the ability to act or make decisions and appropriate behavior the most characteristic feature of bd is psychomotor slowness - an increase in the length of time it takes for example for the fingers to turn the thought of a letter into the shape of a letter on a piece of paper other symptoms include forgetfulness but not as severe as the forgetfulness of alzheimers disease changes in speech an unsteady gait clumsiness or frequent falls changes in personality or mood most likely in the form of apathy irritability and depression and urinary symptoms that arent caused by urological disease brain imaging which reveals the characteristic brain lesions of bd is essential for a positive diagnosis,Neurological_Disorders_and_StrokeQA
What are the treatments for Binswanger's Disease ?,"There is no specific course of treatment for BD. Treatment is symptomatic. People with depression or anxiety may require antidepressant medications such as the serotonin-specific reuptake inhibitors (SSRI) sertraline or citalopram. Atypical antipsychotic drugs, such as risperidone and olanzapine, can be useful in individuals with agitation and disruptive behavior. Recent drug trials with the drug memantine have shown improved cognition and stabilization of global functioning and behavior. The successful management of hypertension and diabetes can slow the progression of atherosclerosis, and subsequently slow the progress of BD. Because there is no cure, the best treatment is preventive, early in the adult years, by controlling risk factors such as hypertension, diabetes, and smoking.",Neurological_Disorders_Stroke,train,treatment binswangers disease,what are the treatments for binswangers disease,specific course treatment treatment symptomatic people depression anxiety may require antidepressant medication serotoninspecific reuptake inhibitor ssri sertraline citalopram atypical antipsychotic drug risperidone olanzapine useful individual agitation disruptive behavior recent drug trial drug memantine shown improved cognition stabilization global functioning behavior successful management hypertension diabetes slow progression atherosclerosis subsequently slow progress cure best treatment preventive early adult year controlling risk factor hypertension diabetes smoking,there is no specific course of treatment for bd treatment is symptomatic people with depression or anxiety may require antidepressant medications such as the serotonin-specific reuptake inhibitors ssri sertraline or citalopram atypical antipsychotic drugs such as risperidone and olanzapine can be useful in individuals with agitation and disruptive behavior recent drug trials with the drug memantine have shown improved cognition and stabilization of global functioning and behavior the successful management of hypertension and diabetes can slow the progression of atherosclerosis and subsequently slow the progress of bd because there is no cure the best treatment is preventive early in the adult years by controlling risk factors such as hypertension diabetes and smoking,Neurological_Disorders_and_StrokeQA
What is the outlook for Binswanger's Disease ?,"BD is a progressive disease; there is no cure. Changes may be sudden or gradual and then progress in a stepwise manner. BD can often coexist with Alzheimer's disease. Behaviors that slow the progression of high blood pressure, diabetes, and atherosclerosis -- such as eating a healthy diet and keeping healthy wake/sleep schedules, exercising, and not smoking or drinking too much alcohol -- can also slow the progression of BD.",Neurological_Disorders_Stroke,train,outlook binswangers disease,what is the outlook for binswangers disease,progressive disease cure change may sudden gradual progress stepwise manner often coexist alzheimers disease behavior slow progression high blood pressure diabetes atherosclerosis eating healthy diet keeping healthy wakesleep schedule exercising smoking drinking much alcohol also slow progression,bd is a progressive disease there is no cure changes may be sudden or gradual and then progress in a stepwise manner bd can often coexist with alzheimers disease behaviors that slow the progression of high blood pressure diabetes and atherosclerosis -- such as eating a healthy diet and keeping healthy wakesleep schedules exercising and not smoking or drinking too much alcohol -- can also slow the progression of bd,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Binswanger's Disease ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to BD in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure neurological disorders, such as BD.",Neurological_Disorders_Stroke,train,research clinical trial done binswangers disease,what research or clinical trials is being done for binswangers disease,national institute neurological disorder stroke ninds conduct research related laboratory national institute health nih also support additional research grant major medical institution across country much research focus finding better way prevent treat ultimately cure neurological disorder,the national institute of neurological disorders and stroke ninds conducts research related to bd in its laboratories at the national institutes of health nih and also supports additional research through grants to major medical institutions across the country much of this research focuses on finding better ways to prevent treat and ultimately cure neurological disorders such as bd,Neurological_Disorders_and_StrokeQA
What is (are) Repetitive Motion Disorders ?,"Repetitive motion disorders (RMDs) are a family of muscular conditions that result from repeated motions performed in the course of normal work or daily activities. RMDs include carpal tunnel syndrome, bursitis, tendonitis, epicondylitis, ganglion cyst, tenosynovitis, and trigger finger. RMDs are caused by too many uninterrupted repetitions of an activity or motion, unnatural or awkward motions such as twisting the arm or wrist, overexertion, incorrect posture, or muscle fatigue. RMDs occur most commonly in the hands, wrists, elbows, and shoulders, but can also happen in the neck, back, hips, knees, feet, legs, and ankles. The disorders are characterized by pain, tingling, numbness, visible swelling or redness of the affected area, and the loss of flexibility and strength. For some individuals, there may be no visible sign of injury, although they may find it hard to perform easy tasks Over time, RMDs can cause temporary or permanent damage to the soft tissues in the body -- such as the muscles, nerves, tendons, and ligaments - and compression of nerves or tissue. Generally, RMDs affect individuals who perform repetitive tasks such as assembly line work, meatpacking, sewing, playing musical instruments, and computer work. The disorders may also affect individuals who engage in activities such as carpentry, gardening, and tennis.",Neurological_Disorders_Stroke,train,repetitive motion disorder,what is are repetitive motion disorders,repetitive motion disorder rmds family muscular condition result repeated motion performed course normal work daily activity rmds include carpal tunnel syndrome bursitis tendonitis epicondylitis ganglion cyst tenosynovitis trigger finger rmds caused many uninterrupted repetition activity motion unnatural awkward motion twisting arm wrist overexertion incorrect posture muscle fatigue rmds occur commonly hand wrist elbow shoulder also happen neck back hip knee foot leg ankle disorder characterized pain tingling numbness visible swelling redness affected area loss flexibility strength individual may visible sign injury although may find hard perform easy task time rmds cause temporary permanent damage soft tissue body muscle nerve tendon ligament compression nerve tissue generally rmds affect individual perform repetitive task assembly line work meatpacking sewing playing musical instrument computer work disorder may also affect individual engage activity carpentry gardening tennis,repetitive motion disorders rmds are a family of muscular conditions that result from repeated motions performed in the course of normal work or daily activities rmds include carpal tunnel syndrome bursitis tendonitis epicondylitis ganglion cyst tenosynovitis and trigger finger rmds are caused by too many uninterrupted repetitions of an activity or motion unnatural or awkward motions such as twisting the arm or wrist overexertion incorrect posture or muscle fatigue rmds occur most commonly in the hands wrists elbows and shoulders but can also happen in the neck back hips knees feet legs and ankles the disorders are characterized by pain tingling numbness visible swelling or redness of the affected area and the loss of flexibility and strength for some individuals there may be no visible sign of injury although they may find it hard to perform easy tasks over time rmds can cause temporary or permanent damage to the soft tissues in the body -- such as the muscles nerves tendons and ligaments - and compression of nerves or tissue generally rmds affect individuals who perform repetitive tasks such as assembly line work meatpacking sewing playing musical instruments and computer work the disorders may also affect individuals who engage in activities such as carpentry gardening and tennis,Neurological_Disorders_and_StrokeQA
What are the treatments for Repetitive Motion Disorders ?,"Treatment for RMDs usually includes reducing or stopping the motions that cause symptoms. Options include taking breaks to give the affected area time to rest, and adopting stretching and relaxation exercises. Applying ice to the affected area and using medications such as pain relievers, cortisone, and anti-inflammatory drugs can reduce pain and swelling. Splints may be able to relieve pressure on the muscles and nerves. Physical therapy may relieve the soreness and pain in the muscles and joints. In rare cases, surgery may be required to relieve symptoms and prevent permanent damage. Some employers have developed ergonomic programs to help workers adjust their pace of work and arrange office equipment to minimize problems.",Neurological_Disorders_Stroke,train,treatment repetitive motion disorder,what are the treatments for repetitive motion disorders,treatment rmds usually includes reducing stopping motion cause symptom option include taking break give affected area time rest adopting stretching relaxation exercise applying ice affected area using medication pain reliever cortisone antiinflammatory drug reduce pain swelling splint may able relieve pressure muscle nerve physical therapy may relieve soreness pain muscle joint rare case surgery may required relieve symptom prevent permanent damage employer developed ergonomic program help worker adjust pace work arrange office equipment minimize problem,treatment for rmds usually includes reducing or stopping the motions that cause symptoms options include taking breaks to give the affected area time to rest and adopting stretching and relaxation exercises applying ice to the affected area and using medications such as pain relievers cortisone and anti-inflammatory drugs can reduce pain and swelling splints may be able to relieve pressure on the muscles and nerves physical therapy may relieve the soreness and pain in the muscles and joints in rare cases surgery may be required to relieve symptoms and prevent permanent damage some employers have developed ergonomic programs to help workers adjust their pace of work and arrange office equipment to minimize problems,Neurological_Disorders_and_StrokeQA
What is the outlook for Repetitive Motion Disorders ?,"Most individuals with RMDs recover completely and can avoid re-injury by changing the way they perform repetitive movements, the frequency with which they perform them, and the amount of time they rest between movements. Without treatment, RMDs may result in permanent injury and complete loss of function in the affected area.",Neurological_Disorders_Stroke,train,outlook repetitive motion disorder,what is the outlook for repetitive motion disorders,individual rmds recover completely avoid reinjury changing way perform repetitive movement frequency perform amount time rest movement without treatment rmds may result permanent injury complete loss function affected area,most individuals with rmds recover completely and can avoid re-injury by changing the way they perform repetitive movements the frequency with which they perform them and the amount of time they rest between movements without treatment rmds may result in permanent injury and complete loss of function in the affected area,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Repetitive Motion Disorders ?,Much of the on-going research on RMDs is aimed at prevention and rehabilitation. The National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) funds research on RMDs.,Neurological_Disorders_Stroke,train,research clinical trial done repetitive motion disorder,what research or clinical trials is being done for repetitive motion disorders,much ongoing research rmds aimed prevention rehabilitation national institute arthritis musculoskeletal skin disease niams fund research rmds,much of the on-going research on rmds is aimed at prevention and rehabilitation the national institute of arthritis and musculoskeletal and skin diseases niams funds research on rmds,Neurological_Disorders_and_StrokeQA
